zenodo_id,doi,zenodo_url,title,creators,publication_date,file_count,extracted_chars
8407035,10.5281/zenodo.8407035,https://zenodo.org/records/8407035,"Eurodoc Statement on ""Commitments to Developing a Eurodoc CoARA Action Plan""",Pil Maria Saugmann; Hannah Schoch; Sebastian Dahle; Devriş İşler; Sarah Pilia; Aleksandra Lewandowska,2023-10-04,1,9925
10017553,10.5281/zenodo.10017553,https://zenodo.org/records/10017553,Reforming Research Assessment at Strathclyde: A five-year CoARA action plan,"Murkett, Grace; Young, Helen",2023-10-18,1,24088
10039478,10.5281/zenodo.10039478,https://zenodo.org/records/10039478,"CoARA Action Plan 2023. University of Oulu, Finland","Kallio, Miki; Rauhala, Marika; Sipola, Tiina",2023-10-25,1,8262
10138254,10.17028/rd.lboro.24260686.v1,https://zenodo.org/records/10138254,Loughborough University CoARA Action Plan,Loughborough University,2023-11-15,1,20663
10230523,10.5281/zenodo.10230523,https://zenodo.org/records/10230523,Reforming Research Assessment: Ghent University's commitment to implement the European Agreement on Reforming Research Assessment. Action Plan 2023-2027,Ghent University,2023-11-30,1,13559
10230836,10.5281/zenodo.10230836,https://zenodo.org/records/10230836,Masaryk University CoARA Action Plan v1,"Masaryk University; Petr, Michal",2023-11-30,1,16833
10245904,10.5281/zenodo.10245904,https://zenodo.org/records/10245904,NTNU Action Plan for the implementation of the CoARA commitments,"Brekke, Kristin Wergeland",2023-12-01,1,8381
10301375,10.5281/zenodo.10301375,https://zenodo.org/records/10301375,BFH Action Plan for Responsible Research Assessment: 2024 and Beyond,"Caduff, Corina; Brunner, Peter; Raab, Anja",2023-12-08,1,7633
10406054,10.5281/zenodo.10406054,https://zenodo.org/records/10406054,CoARA Action Plan Laurea University of Applied Sciences 2023,"Vuolteenaho, Mari; Päivärinne, Tiina; Juvonen, Sanna; Kelkka, Tiina",2023-12-19,1,20271
10409073,10.5281/zenodo.10409073,https://zenodo.org/records/10409073,Østfold University College CoARA Action Plan,"Norsted, Kristian Sandbekk",2023-12-20,1,5065
