theme,plans_matched,corpus_size,pct,total_hits,band
governance,272,335,81.2,1441,universal
awareness-comms,268,335,80.0,829,universal
training,262,335,78.2,760,universal
open-science,259,335,77.3,2357,universal
qualitative-judgement,258,335,77.0,910,universal
no-rankings,253,335,75.5,891,universal
working-groups,251,335,74.9,1209,universal
remove-jif,245,335,73.1,1143,universal
criteria-audit,236,335,70.4,484,universal
diverse-outputs,217,335,64.8,467,universal
career-stage,216,335,64.5,1239,universal
scope-dora,146,335,43.6,541,common
edi,144,335,43.0,670,common
resources-budget,125,335,37.3,250,common
ethics-integrity,115,335,34.3,259,common
progress-report,98,335,29.3,222,emerging
narrative-cv,94,335,28.1,191,emerging
formal-approval,84,335,25.1,119,emerging
mentoring,82,335,24.5,161,emerging
cris-it,58,335,17.3,186,emerging
publish-plan,57,335,17.0,68,emerging
multilingual,25,335,7.5,61,frontier
credit-taxonomy,11,335,3.3,17,frontier
ai-governance,10,335,3.0,13,frontier
unit-evaluation,8,335,2.4,9,frontier
surveys-evidence,4,335,1.2,7,frontier
care-indigenous,1,335,0.3,1,frontier
